"prof","slogan","politician","econ","name","race","sex","order","choice","sec","corrup","emp","id","age","sex_respondent","state","income","trust_civpol","trust_milpol","trust_congress","trust_minpub","trust_mayor","trust_vereadores","trust_army","legit_1","legit_2","legit_3","legit_4","legit_5","contact_civpol","contact_milpol","contact_guarda","contact_saude","contact_educ","crime_victim","problem_corruption","problem_health","problem_security","problem_inequality","problem_unemployment","problem_other","covid_eval","covid_contact","ideology_self","ideology_mayor","ideology_president","vote","pres_vote_2018","party_mayor","party_self","auth_1","auth_2","auth_3","auth_4","religion","race_respondent","city","cep","urban","education"
"doctor","generic","politician","right","Hector Amaral","black","male",2,3,1,1,1,"R_2CV1IBhJ1xvpvlU",28,2,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,4,5,2,1,"nao",3,3,0,4,7,3,10,3,12,NA,NA,1,NA,1,"1","bh","31130000",2,5
"police","corruption","novice","left","Bernardo Teixeira","white","male",2,3,2,2,2,"R_2D057yrGfv8ayHZ",32,2,21,7,4,4,3,4,3,3,4,3,3,3,3,3,1,1,1,3,4,1,1,3,4,5,2,"Nao",5,12,3,4,4,1,10,17,12,1,2,1,2,11,"1","Santa Maria","97040250",2,3
"pastor","corruption","politician","right","Nicolas Duarte","white","male",2,1,1,1,1,"R_2D2Am0E9NcusuxK",46,2,25,7,3,3,3,3,1,1,3,3,1,1,1,1,1,1,1,2,1,5,1,4,3,2,5,"",1,2,NA,1,3,2,10,17,12,1,2,2,1,2,"4","São Paulo ","1122000",2,5
"pastor","corruption","novice","left","Isabella Nunes","white","female",2,1,1,1,1,"R_2D2HrWioAAxEZHl",26,1,16,3,4,4,1,4,3,2,4,3,4,1,1,3,1,2,2,2,3,2,1,4,2,5,3,"Meio ambiente ",3,9,NA,5,7,2,9,17,12,NA,NA,2,NA,2,"1","CURITIBA ","82990-193 ",2,3
"captain","jobs","politician","left","Hector Amaral","white","male",2,4,3,2,4,"R_2DNY3W4TgF85NXT",24,2,25,2,2,2,1,1,1,1,3,3,2,4,4,1,1,1,1,3,4,1,1,4,5,3,2,"",1,12,6,3,7,1,1,17,12,1,2,1,1,4,"1","Santana de Parnaíba","6535075",2,4
"doctor","corruption","novice","right","Cecilia Machado","white","female",2,4,2,4,4,"R_2DOl7D7IYG6AlCP",45,1,25,3,4,4,2,3,2,2,5,5,5,4,3,5,3,5,5,3,5,1,1,2,3,5,4,"Mobilidade urbana",2,4,5,3,6,2,1,17,12,1,2,1,1,4,"4","Campinas sp ","13100",2,6
"police","corruption","novice","right","Nicolas Duarte","pardo","male",2,1,2,2,3,"R_2dQjAUj1VMv8tZ1",32,2,6,7,2,2,2,2,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,3,2,4,5,"Educação ",NA,1,4,5,5,1,3,16,13,1,1,2,2,11,"6","Juazeiro","Nao sei",2,5
"police","corruption","politician","left","Nicolas Duarte","white","male",2,1,3,3,3,"R_2dRR7jK1eqkegJd",10,1,21,3,2,2,1,3,1,1,2,1,1,3,2,1,1,2,1,2,2,1,3,1,5,4,2,"",1,3,3,7,7,2,3,11,12,1,1,1,2,2,"1","Bagé","",2,6
"pastor","jobs","novice","left","Nicolas Duarte","white","male",2,2,3,2,2,"R_2DRXtl6CAx3mett",4,1,20,7,4,5,4,4,2,2,5,4,4,5,5,3,NA,1,1,3,3,1,1,2,4,5,3,"",4,12,4,6,7,3,1,17,12,1,1,1,2,4,"4","Tenente ananias","59955000",2,3
"office","generic","politician","left","Olívia Mendes","white","female",2,3,3,3,3,"R_2ds9gVR0uaJHtaH",12,2,13,7,4,4,4,4,4,3,4,2,2,3,1,1,1,1,1,2,1,1,1,3,5,2,4,"Fome e educação  ",4,4,NA,NA,7,3,2,17,12,2,2,1,1,6,"4","Belo Horizonte ","30535000",2,5
"captain","jobs","politician","right","Olívia Mendes","pardo","female",2,1,2,2,2,"R_2dSKaRP0lkL8Fky",30,1,21,5,4,4,1,2,4,1,2,3,3,4,4,3,2,2,1,1,2,1,1,4,5,2,3,"FALTA DE REFORMA POLÍTICA",3,12,NA,5,7,1,5,1,12,1,2,2,1,1,"6","DOIS IRMÃOS","93950000",2,5
"professor","corruption","novice","left","Isabella Nunes","pardo","female",2,3,3,3,4,"R_2DU0w3ZwqbHsJ5Q",12,2,9,7,3,3,NA,2,1,1,4,2,3,3,3,3,3,3,3,3,4,3,NA,NA,NA,NA,NA,"Gdhdmdmfm",4,7,6,7,7,2,9,9,10,1,1,1,1,5,"3","NN jvzojjf","1.4358E+11",2,3
"office","corruption","politician","right","Cecilia Machado","black","female",2,1,2,3,1,"R_2EaUDWctkmSSQSc",43,1,6,7,3,2,2,2,3,1,4,2,3,2,1,3,1,1,1,2,1,1,1,3,5,4,2,"",2,8,3,3,3,1,10,16,12,1,NA,NA,2,2,"4","ceara","60540812",2,3
"police","jobs","politician","left","Bernardo Teixeira","white","male",2,4,3,2,5,"R_2EBiHYn3OGDqBOD",15,2,20,3,4,4,2,5,4,2,2,2,4,3,4,4,1,1,1,2,5,1,1,4,3,2,5,"Educação ",5,5,2,6,7,3,11,17,3,1,2,2,2,2,"4","Natal ","59090-415 ",2,5
"professor","generic","politician","left","Nicolas Duarte","black","male",2,5,1,1,1,"R_2EcpdKs8gEOzHy5",10,2,25,7,3,3,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,5,1,2,3,4,"",1,11,4,5,6,1,NA,NA,NA,1,2,1,1,4,"1","Diadema são Paulo","09950-000",1,2
"professor","corruption","politician","right","Isabella Nunes","white","female",2,2,1,1,1,"R_2EEosPfdzpijRrN",31,1,16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,4,5,2,3,"políticos honestos e com vontade de realmente mudar, pois de promessas estamos cheios! Criar meios de criminalizar políticos, que roubam sempre e nunca vão presos! Acabar com imunidade parlamentar seria um primeiro passo, pois o presidente Bolsonaro deveria estar preso com toda a sua família miliciana",3,12,0,7,7,1,3,5,12,2,1,2,2,1,"1","Curitiba","80030400",2,3
"pastor","jobs","politician","left","Isabella Nunes","pardo","female",2,1,2,1,2,"R_2EfPs5lV0fcs3Ek",45,1,21,2,3,NA,NA,NA,NA,NA,5,2,2,4,4,2,NA,NA,NA,NA,NA,2,1,2,3,4,5,"",3,6,6,6,7,1,1,NA,NA,1,2,1,1,4,"1","Caxias do Sul","95082140",2,3
"doctor","generic","novice","left","Nicolas Duarte","pardo","male",2,1,3,3,3,"R_2EgSBcMLlVKvCUQ",26,1,19,7,3,1,1,1,1,1,3,1,1,1,1,1,2,2,2,3,3,5,1,4,2,3,5,"Corrupçao no STF.",1,12,6,1,7,2,1,12,8,1,1,2,1,4,"6","Rio de janeiro","23017-390",2,4
"captain","jobs","novice","left","Nicolas Duarte","black","male",2,4,5,4,3,"R_2EhqT683kDVYaEf",2,1,9,5,4,4,4,3,3,4,4,2,3,4,4,3,1,5,1,3,1,1,NA,NA,NA,NA,NA,"",3,12,3,2,7,1,9,17,12,NA,2,NA,NA,4,"1","Anápolis ","75125140",2,3
"doctor","jobs","politician","right","Cecilia Machado","black","female",2,3,3,3,3,"R_2EmykCtbhp75sYK",5,2,9,7,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,5,1,2,3,4,"",3,1,3,4,4,2,9,17,1,NA,NA,1,NA,2,"1","Águas lindas de Goiás","72910461",2,2
"police","jobs","politician","right","Hector Amaral","white","male",2,4,4,4,4,"R_2eOvO6nt3URvuE3",8,2,4,7,5,5,3,3,3,3,5,3,3,5,1,3,4,4,4,4,3,2,NA,NA,NA,NA,NA,"Nao",4,12,4,3,1,1,10,17,12,NA,2,NA,NA,4,"2","Manacapuru ","69400668",1,3
"captain","corruption","novice","right","Isabella Nunes","pardo","female",2,1,1,1,1,"R_2eRyCzHiYE3hESd",25,1,19,2,4,4,3,3,2,3,3,4,2,1,1,1,1,1,1,3,1,1,1,5,3,4,2,"",1,11,4,3,7,1,2,4,1,1,2,1,2,2,"4","Copacabana ","22051-011 ",2,5
"office","corruption","novice","right","Hector Amaral","black","male",2,3,2,2,2,"R_2Esp3hpT7rGXSHj",24,1,21,3,4,4,2,4,4,4,4,2,4,4,5,4,1,2,1,2,2,1,1,2,3,5,4,"",5,5,6,7,7,3,1,2,12,2,1,1,2,2,"1","Santa Rosa","98783860",1,5
"doctor","corruption","novice","right","Isabella Nunes","white","female",2,2,2,2,2,"R_2f41UH4V4Wh98EB",38,2,16,3,4,2,1,2,2,1,2,4,4,1,1,2,1,1,1,3,1,1,1,2,3,5,4,"",4,NA,1,5,7,3,5,17,1,NA,1,2,1,2,"1","Curitiba ","82940050",2,4
"pastor","jobs","politician","right","Olívia Mendes","white","female",2,1,1,2,1,"R_2f6D86PQlBRS2qL",26,2,9,7,NA,4,NA,4,NA,1,3,1,2,1,2,2,1,1,1,2,4,2,2,1,3,4,5,"Pobreza ",2,1,5,7,6,1,1,16,12,1,2,1,2,4,"1","Goiania","74593040",2,3
"captain","corruption","novice","left","Olívia Mendes","pardo","female",2,5,5,5,5,"R_2fcVyQI73X35Pda",37,1,13,7,5,5,1,4,1,1,5,5,5,2,2,5,2,2,1,1,1,1,2,1,3,4,5,"COMUNISMO",4,12,6,NA,7,3,1,17,12,1,2,1,2,2,"1,2,3,4,5","SÃO JOÃO NEPOMUCENO","36.680-270",2,3
"captain","corruption","novice","left","Olívia Mendes","white","female",2,2,2,3,2,"R_2fHSkcSnO5bIxrm",6,2,14,7,4,4,2,4,4,2,4,2,2,4,3,3,1,1,1,1,3,1,1,4,5,2,3,"",4,12,5,5,1,3,3,14,12,1,2,1,1,2,"4","Belém","66650486",2,5
"captain","generic","politician","right","Cecilia Machado","white","female",2,4,2,3,2,"R_2fKjgZ5Iuoo1gl2",24,1,12,2,4,4,1,3,3,3,4,3,3,3,2,3,1,2,1,2,2,2,NA,NA,NA,NA,NA,"5",4,5,3,5,7,2,9,7,12,1,2,NA,2,2,"4","Mundo Novo","79980000",2,5
"captain","generic","politician","left","Cecilia Machado","pardo","female",2,5,4,4,3,"R_2flmuzSB1BQh8VT",50,1,20,2,2,2,1,3,1,3,5,5,5,3,1,3,1,2,4,3,4,1,1,2,3,4,5,"",1,7,6,5,7,3,1,17,12,1,2,NA,NA,2,"1","Natal","59133560",2,3
"captain","jobs","politician","left","Nicolas Duarte","white","male",2,4,3,2,1,"R_2fuNCmZV9ddLWbB",44,2,13,1,5,3,2,5,3,1,3,4,5,5,5,5,5,3,3,4,1,2,1,3,2,4,5,"",4,12,0,7,7,1,1,4,1,1,NA,2,1,6,"4","Sabará","34535140",2,3
"doctor","jobs","politician","left","Olívia Mendes","black","female",2,4,2,3,4,"R_2fvT1nqPpd9xH3F",5,2,19,2,2,3,2,2,2,2,3,1,1,1,4,2,1,1,2,2,2,1,1,4,5,3,2,"",3,6,0,2,7,3,3,17,12,1,1,1,2,1,"3","Silva Jardim","28820000",1,3
"captain","generic","novice","right","Isabella Nunes","pardo","female",2,1,1,1,1,"R_2m20vb9NJPu68Gl",11,2,4,1,3,1,1,3,1,1,3,1,1,1,5,1,1,3,1,1,2,2,1,3,5,4,2,"",1,12,0,7,7,2,10,17,1,1,2,1,2,6,"1","Manaus","69047780",2,3
"professor","jobs","politician","left","Isabella Nunes","black","female",2,4,3,2,3,"R_2mFqjd7Qk3LmUzT",6,2,25,3,1,1,1,4,1,4,2,1,1,1,1,NA,1,3,3,1,1,2,4,3,5,1,2,"",1,12,0,6,7,3,9,11,1,1,1,2,1,7,"3","Osasco","6286280",2,4
"captain","generic","novice","left","Cecilia Machado","black","female",2,2,2,2,2,"R_2OHI57UFvbgL4Hb",27,1,25,7,3,3,1,1,1,3,4,2,1,3,1,3,1,1,1,2,2,1,1,4,3,5,2,"",4,NA,6,1,7,2,1,4,12,1,2,1,2,4,"4","jundiai","",2,3
"doctor","generic","novice","right","Hector Amaral","black","male",2,1,1,4,4,"R_2OMDE5DkXXb8mvh",17,2,25,7,5,5,1,2,1,1,5,2,2,4,2,2,1,1,1,1,1,1,5,1,2,4,3,"",3,NA,2,4,7,1,9,17,12,1,2,1,2,2,"4","São Paulo ","",2,3
"doctor","corruption","novice","left","Cecilia Machado","pardo","female",2,1,2,2,2,"R_2OMtBi4o2kY9Ccd",23,2,19,7,4,4,1,3,1,1,4,4,4,4,1,2,1,1,1,1,1,1,4,1,3,5,2,"",3,2,3,4,7,1,9,17,12,1,2,1,2,4,"1","Belford roxo ","26190085",2,3
"professor","generic","politician","left","Olívia Mendes","white","female",2,4,3,3,3,"R_2ONp7gwYcCfjVPL",15,2,13,7,4,5,3,4,4,2,4,4,2,4,4,2,1,4,1,4,4,1,1,4,5,3,2,"Ensino de qualidade para os aluno das escolas publicas",2,6,0,4,7,3,2,9,1,2,1,2,NA,4,"4","Rio manso","35485000",1,3
"police","corruption","politician","right","Isabella Nunes","black","female",2,4,2,3,2,"R_2OUOlUzYka6WaxZ",6,1,26,3,3,4,1,1,2,2,3,2,2,3,4,2,1,3,2,4,1,1,1,2,3,4,5,"",3,NA,4,3,6,3,1,17,12,1,2,1,2,4,"4","Aracaju ","49030-000 ",2,3
"captain","jobs","novice","right","Bernardo Teixeira","white","male",2,1,2,2,2,"R_2OVYBPhYOhx0DCo",25,1,25,3,4,5,4,4,5,3,5,5,5,2,2,2,2,4,2,1,1,1,NA,NA,NA,NA,NA,"Educação",3,5,2,6,7,3,1,4,2,NA,NA,1,NA,2,"1","Sao paulo","4530000",2,4
"office","generic","novice","right","Cecilia Machado","white","female",2,1,1,1,1,"R_2PbCDoy4CEQQLLi",20,2,13,1,1,1,1,2,5,4,1,1,1,1,1,1,1,1,1,3,1,2,1,3,5,4,2,"Falta proteção ao menor e às mulheres ",5,6,5,6,7,3,1,17,12,NA,NA,1,NA,11,"3","São Sebastião do paraíso ","37950000",2,5
"captain","corruption","politician","left","Nicolas Duarte","black","male",2,1,1,1,1,"R_2pKREGweXcROJbr",38,1,22,6,3,2,4,2,1,1,1,1,1,1,1,1,2,1,1,2,5,1,4,2,5,1,3,"Falta de democracia",4,12,0,7,7,3,2,4,1,1,2,2,1,2,"4","Porto Velho","76820-788",2,6
"doctor","jobs","politician","right","Hector Amaral","white","male",2,1,1,1,1,"R_2pM2VCsrTMNAbIi",32,1,19,7,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,4,5,3,2,"Não",3,2,NA,NA,NA,1,1,17,12,1,2,1,1,4,"1","Rio de Janeiro","23063520",2,3
"pastor","corruption","politician","left","Olívia Mendes","white","female",2,5,4,4,4,"R_2pQOoNZC4gmr07e",34,2,14,7,3,2,3,3,2,2,3,1,1,1,1,3,1,1,1,1,2,2,2,1,4,5,3,"Abuso sexual",1,12,6,1,1,1,2,17,1,1,2,1,1,4,"4","Soure","68870000",2,3
"captain","corruption","novice","right","Cecilia Machado","white","female",2,4,2,2,2,"R_2pWtGJI1UeuQ5Nb",43,2,25,7,4,4,4,4,4,4,4,3,3,3,3,3,1,2,1,2,2,2,1,2,3,4,5,"Mais emprego .",2,6,5,6,6,1,1,4,2,1,2,NA,1,4,"1","Caieiras.","07733-040",1,3
"pastor","generic","politician","left","Hector Amaral","black","male",2,4,2,1,1,"R_2q3Km6xsRReAqSx",8,2,20,7,4,4,3,3,3,4,3,4,4,4,4,3,1,1,1,4,2,1,5,1,2,4,3,"",5,NA,4,5,5,3,2,17,12,1,2,1,2,2,"4","São Paulo","4913080",2,3
"doctor","generic","politician","left","Isabella Nunes","white","female",2,3,4,4,4,"R_2q4omkKFKAHsxUK",5,1,6,7,5,3,3,1,3,2,4,2,2,2,2,1,1,2,1,1,4,1,NA,NA,NA,NA,NA,"Saúde pública ",4,1,5,3,1,1,2,11,1,1,2,1,2,2,"4","Fortaleza ","60545-258 ",2,3
"pastor","corruption","novice","right","Olívia Mendes","pardo","female",2,3,2,3,2,"R_2qERp1labsFjjpx",6,2,5,7,4,4,3,3,3,3,4,3,3,3,4,3,1,1,1,3,3,1,3,1,2,5,4,"Não",3,1,NA,NA,NA,1,2,5,1,1,2,1,1,1,"1","Riachão do Jacuípe ","44640-000 ",2,4
"office","corruption","novice","left","Isabella Nunes","black","female",2,4,2,3,NA,"R_2QEV8erfXUCV058",5,2,5,7,3,3,3,3,3,3,4,3,3,3,3,3,1,1,1,3,1,1,5,1,4,3,2,"Nao",3,1,5,6,1,2,10,4,12,1,2,1,1,5,"4","Itagi","45230-000",2,3
"professor","corruption","novice","left","Olívia Mendes","pardo","female",2,2,2,2,2,"R_2QFgrI1PHHjLO4F",13,1,25,3,2,1,1,3,1,2,2,1,1,3,4,1,1,1,1,2,1,1,4,5,1,3,2,"",3,4,3,5,7,2,5,4,13,1,2,2,1,4,"4","São Paulo","1306030",2,5
"pastor","jobs","politician","left","Bernardo Teixeira","black","male",2,4,2,2,4,"R_2QG93cFcIh2z7xs",36,2,21,2,4,4,2,4,2,2,3,3,4,3,4,4,1,1,1,1,5,2,NA,NA,NA,NA,NA,"Desemprego",4,7,2,5,7,3,2,3,1,NA,NA,2,NA,2,"1","Canoas","92110480",2,5
"professor","jobs","politician","right","Nicolas Duarte","black","male",2,3,3,3,3,"R_2QJq2xeQnQLjLqY",5,1,5,7,3,4,3,4,3,2,5,2,2,3,5,3,1,2,2,2,3,1,NA,NA,NA,NA,NA,"",2,NA,3,3,2,2,2,17,1,1,2,2,2,2,"3,4","Anagé","45180-970",1,3
"captain","corruption","novice","left","Isabella Nunes","white","female",2,1,4,4,4,"R_2ql66y5HenP9L9j",56,2,5,7,5,5,2,5,5,2,5,1,1,1,1,1,1,1,1,2,1,1,1,3,4,2,5,"Falta de respeito com os cidadãos dos animais",1,12,6,1,7,3,1,17,2,1,2,1,2,2,"1","Porto Seguro","45810000",2,6
"doctor","corruption","politician","left","Olívia Mendes","white","female",2,1,1,1,1,"R_2qmcVsqhs7Q6M9l",24,1,25,3,1,NA,1,2,1,2,1,1,1,2,2,1,1,2,2,2,5,1,2,4,5,1,3,"",3,6,2,6,7,2,3,10,10,1,2,2,1,4,"4","Sorocaba","18085847",2,5
"office","corruption","politician","right","Bernardo Teixeira","white","male",2,3,5,5,5,"R_2qmhzjxvbyutIxC",17,2,20,7,3,3,1,3,1,1,3,4,3,3,3,3,3,3,2,3,5,1,2,3,4,5,1,"3",3,3,6,2,2,1,2,11,1,NA,2,NA,NA,2,"4","Natal ","59010370",2,2
"pastor","generic","novice","right","Bernardo Teixeira","pardo","male",2,2,2,2,1,"R_2QQkX9PW6LNl4JV",39,1,13,1,4,5,1,2,5,1,5,3,2,3,1,1,1,1,1,4,5,1,1,4,5,3,2,"",4,1,6,7,7,3,1,4,NA,1,2,NA,NA,2,"4","Coronel Fabriciano MG ","35171376",2,3
"captain","generic","novice","right","Hector Amaral","black","male",2,2,2,2,2,"R_2QS9J94oqhOa9mb",9,1,21,1,4,3,1,4,4,4,4,2,3,1,2,3,1,1,1,1,1,1,4,5,3,2,1,"",3,2,3,4,1,2,11,1,13,1,2,2,2,1,"1","Canguçu","96600000",2,2
"office","jobs","politician","left","Isabella Nunes","white","female",2,4,1,3,3,"R_2Qsqkvzd7hG8s2l",26,2,15,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,1,3,3,2,1,2,5,4,3,"Eburmwgebybey",2,11,4,5,3,2,3,3,6,1,2,1,1,2,"3","Roraima","89068",1,5
"office","generic","novice","left","Nicolas Duarte","white","male",2,3,3,3,3,"R_2QXkJTk1iYi0qb9",3,1,7,3,3,3,2,3,3,2,3,2,4,3,2,2,1,1,1,2,2,1,NA,NA,NA,NA,NA,"Melhoria dos gastos públicos",4,3,4,5,7,3,1,1,12,NA,NA,2,NA,2,"1","Brasília","70293070",2,3
"doctor","generic","novice","left","Isabella Nunes","black","female",2,5,3,3,3,"R_2R3Qrua6DBnxsy3",12,2,25,1,5,5,5,4,4,4,5,2,2,4,1,2,2,1,1,2,2,1,3,1,5,4,2,"Não",3,11,6,1,1,3,3,8,1,NA,NA,1,NA,2,"4","Suzano","8673010",2,3
"police","generic","novice","right","Bernardo Teixeira","black","male",2,4,3,3,2,"R_2R82T5FISgTaufX",10,2,13,7,4,3,3,1,3,1,4,2,2,1,1,1,2,2,1,4,5,2,4,1,3,5,2,"",3,NA,6,3,4,2,1,11,12,NA,2,1,2,4,"4","Contagem","32110270",2,3
"police","generic","politician","right","Olívia Mendes","pardo","female",2,3,3,3,3,"R_2rAOXiWTDr0iTOg",48,1,20,3,3,3,1,3,3,1,3,3,2,2,1,1,1,3,1,4,5,4,2,1,3,5,4,"Fome",3,12,NA,5,5,2,9,17,12,1,2,1,2,6,"1","Natal","59068-730",2,4
"professor","corruption","politician","left","Olívia Mendes","white","female",2,3,3,3,3,"R_2ri06EXgLK5aKNc",6,2,13,3,4,4,3,3,3,3,4,3,3,4,4,3,1,2,4,4,1,1,1,2,4,5,3,"",5,5,0,1,1,1,9,17,12,1,1,1,1,2,"4","minas gerais","",2,3
"pastor","jobs","politician","right","Hector Amaral","pardo","male",2,5,4,3,3,"R_2rIbfOHJjo54BxA",1,2,4,7,3,3,4,2,2,2,3,2,3,1,1,3,1,1,2,2,5,1,1,3,4,5,2,"",2,3,3,6,1,2,NA,4,NA,NA,1,2,2,2,"3","Barreirinha ","69160000",2,3
"pastor","jobs","novice","right","Isabella Nunes","pardo","female",2,1,1,1,1,"R_2rIKNuXUvuwplnp",12,2,17,3,2,2,2,2,NA,2,3,1,1,3,1,1,1,NA,1,NA,1,3,3,1,2,5,4,"Educação ",3,12,3,4,4,3,9,4,12,1,NA,NA,2,6,"3","Recife ","50760100",2,4
"captain","jobs","politician","left","Hector Amaral","black","male",2,2,3,3,2,"R_2RNXn1hnOn3R6sa",23,2,8,3,3,2,1,2,1,1,3,2,4,2,1,2,1,2,1,1,5,1,3,1,2,4,5,"Educação de baixa qualidade",1,7,NA,5,7,3,3,17,12,NA,NA,2,NA,1,"1","Iúna","29390000",1,6
"doctor","jobs","politician","left","Hector Amaral","white","male",2,3,3,3,2,"R_2RRlHiyNSFonPjo",10,2,12,3,2,2,2,2,2,3,2,3,3,3,2,3,2,2,1,1,1,2,1,2,5,4,3,"",3,5,2,5,6,2,3,4,12,2,NA,1,NA,1,"1","Três Lagoas","79610210",2,5
"professor","generic","novice","right","Bernardo Teixeira","white","male",2,1,1,1,1,"R_2rSN9lAQMS3jJLf",49,1,25,7,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,1,NA,NA,NA,NA,NA,"",3,1,2,3,2,3,3,17,14,1,2,1,NA,2,"1","São Paulo","3289070",2,4
"office","jobs","novice","right","Olívia Mendes","white","female",2,4,2,3,4,"R_2rTNIT6dRpFQrlt",38,2,25,1,4,4,3,3,3,3,4,2,4,4,NA,4,1,NA,1,1,1,1,1,3,4,5,2,"",4,12,1,7,7,2,8,17,1,1,NA,NA,2,2,"1","Marilia","17515100",2,4
"police","jobs","novice","left","Isabella Nunes","black","female",2,1,2,2,2,"R_2rYgqD4v7fIvJns",21,2,13,2,4,3,1,4,3,1,3,2,2,2,4,2,1,1,2,3,3,3,1,4,2,3,5,"",4,12,0,1,7,3,9,17,1,1,NA,NA,NA,6,"3","Bh","30512250",2,3
"pastor","generic","novice","right","Bernardo Teixeira","black","male",2,1,1,1,2,"R_2s1nD6Af2A3t6r7",18,2,7,3,2,2,1,2,1,1,2,2,4,2,2,1,1,1,1,2,1,1,1,2,4,5,3,"Educação",2,3,3,7,7,3,1,1,12,1,1,2,2,2,"4","Brasília","72600305",2,6
"police","jobs","politician","left","Isabella Nunes","pardo","female",2,4,3,3,2,"R_2S7aGiAnePHds8o",32,1,16,3,4,4,4,5,4,3,5,2,4,4,4,2,3,4,4,3,3,1,NA,NA,NA,NA,NA,"",4,12,3,4,6,2,5,17,12,1,2,1,1,2,"1","Apucarana ","86808220",2,5
"police","corruption","novice","right","Bernardo Teixeira","pardo","male",2,2,1,1,2,"R_2sbfnowQA8S9z8v",6,1,9,3,4,1,2,2,2,4,2,1,3,4,1,1,2,1,3,5,3,3,NA,NA,NA,NA,NA,"Fome",2,2,2,6,7,2,3,2,2,1,2,2,1,8,"1","Goiania","74858295",2,3
"professor","corruption","novice","left","Isabella Nunes","black","female",2,5,2,3,3,"R_2sc0iGU6kvkvDDR",43,2,5,2,4,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,3,1,5,4,3,2,"Racismo",5,12,2,7,7,3,2,5,12,1,1,2,1,6,"3","salvador","40060000",2,5
"captain","generic","politician","left","Hector Amaral","pardo","male",2,4,3,2,3,"R_2scCxZkXHoY0nx6",22,2,24,2,4,4,3,3,3,3,4,3,3,4,4,2,1,2,1,2,2,2,4,1,5,2,3,"Educação",3,6,3,4,3,3,2,8,12,1,2,1,2,2,"1","Navegantes","88372526",2,2
"police","corruption","politician","left","Isabella Nunes","black","female",2,1,2,3,3,"R_2ScsOe07b7Q7L3v",15,2,15,1,4,5,4,5,4,4,5,2,4,2,1,2,1,1,2,2,2,1,1,2,3,4,5,"",4,11,3,7,1,3,8,17,12,2,1,1,1,11,"3","CAJAZEIRAS","58900000",2,5
"doctor","jobs","politician","left","Nicolas Duarte","black","male",2,4,3,3,3,"R_2Si4NewwSN3yf3k",52,1,19,7,5,5,2,5,1,1,5,3,3,1,1,1,5,5,4,3,4,3,2,1,3,5,4,"",1,NA,5,1,7,3,10,17,12,1,2,1,2,6,"4","rj","21021512",2,3
"office","corruption","politician","left","Nicolas Duarte","pardo","male",2,3,3,3,2,"R_2SJKv6Zbalh0VZS",27,2,6,3,5,5,2,5,2,3,5,1,4,1,1,2,2,2,1,1,2,1,4,2,3,5,1,"Educação",4,6,4,3,7,3,1,7,12,1,1,1,1,4,"4","Fortaleza","60182418",2,5
"captain","generic","politician","right","Isabella Nunes","pardo","female",2,4,4,4,3,"R_2SkLQbGgzsdr00g",50,1,5,3,3,1,1,2,1,1,4,1,1,1,1,1,2,4,1,4,4,1,3,1,2,4,5,"",4,12,3,6,7,3,9,5,14,NA,NA,1,2,6,"4","Camaçari ","42827630",2,5
"professor","generic","novice","right","Cecilia Machado","white","female",2,3,2,2,2,"R_2SowudZeGXZevGM",38,1,9,7,3,3,1,2,1,1,3,3,3,1,1,1,1,1,1,2,3,5,1,3,4,5,2,"Leis mais severas para políticos desonestos",1,NA,NA,7,7,2,10,17,12,1,2,2,2,2,"1","Trindade ","75380000",2,2
"pastor","corruption","novice","left","Nicolas Duarte","black","male",2,2,1,4,1,"R_2SqvDMmPqPTM6Mg",3,2,25,7,2,2,3,2,4,3,4,1,1,4,4,1,1,1,1,5,1,2,5,2,4,3,1,"",5,NA,NA,5,2,1,9,16,12,1,2,1,1,2,"4","Indaiatuba","13344-120",2,3
"police","generic","politician","right","Isabella Nunes","white","female",2,1,1,1,1,"R_2Srabvcwc4Qj7qz",4,2,4,7,3,3,3,3,4,3,3,2,2,NA,NA,NA,1,1,1,1,1,1,1,2,3,4,5,"1",1,3,5,3,6,1,1,17,8,2,2,1,2,2,"4","Manaus ","69086604",2,3
"police","generic","novice","right","Isabella Nunes","black","female",2,4,2,2,1,"R_2sYGpMzw7UWNI9K",8,2,21,2,4,4,1,4,2,2,3,2,2,2,1,3,1,1,2,2,1,1,5,1,2,4,3,"Educação",4,2,2,5,7,2,2,17,12,NA,NA,1,2,6,"1","Canoas","92030430",2,3
"pastor","corruption","politician","left","Cecilia Machado","black","female",2,3,4,2,2,"R_2sZ7AXOToxLAet3",7,2,10,7,4,4,4,2,1,2,4,4,2,1,1,5,1,1,2,1,2,3,1,2,3,4,5,"",2,12,3,4,4,1,2,17,12,1,2,1,1,1,"3","6535000","65350000",1,3
